Column1,Column2,Column3,Column4,Column5
Subscription ID,Resource Group,Virtual Network,Subnet,NSG Name
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,bastionhosts-10.117.5.160_27,g-nsg-1n-platform01-bastionhosts-10.117.5.160_27
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,akssyspostgres-10.125.97.0_25,g-nsg-1n-platform01-akssyspostgres-10.125.97.0_25
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,aksstagepostgres-10.125.99.0_24,g-nsg-1n-platform01-aksstagepostgres-10.125.99.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,aksstagesaltsecurity-10.125.105.0_24,g-nsg-1n-platform01-aksstagesaltsecurity-10.125.105.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,akssyscarsv1api02-10.125.107.0_24,g-nsg-1n-platform01-akssyscarsv1api02-10.125.107.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,aksstagecaas02-10.111.240.0_24,g-nsg-1n-platform01-aksstagecaas02-10.111.240.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,aksstagedsopsbackstage-10.125.115.0_24,g-nsg-1n-platform01-aksstagedsopsbackstage-10.125.115.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,akssysdsopsbackstage-10.125.116.0_24,g-nsg-1n-platform01-akssysdsopsbackstage-10.125.116.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,akssysdevsecopssbx-10.125.117.0_24,g-nsg-1n-platform01-akssysdevsecopssbx-10.125.117.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,aksdevdevsecops-10.125.118.0_23,g-nsg-1n-platform01-aksdevdevsecops-10.125.118.0_23
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,akssysdevsecops-10.60.192.0_24,g-nsg-1n-platform01-akssysdevsecops-10.60.192.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,akssyscoder02-10.60.193.0_24,g-nsg-1n-platform01-akssyscoder02-10.60.193.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,aksdevcoder02-10.60.194.0_24,g-nsg-1n-platform01-aksdevcoder02-10.60.194.0_24
g-platform-n01,g-rsg-1n-platform01-network-01,g-vnt-1n-platform01-01,apigeeintappgw-10.60.195.0_24,g-nsg-1n-platform01-apigeeintappgw-10.60.195.0_24
